id_student,average_score,completed_assessments,late_submission_count
6516,61.8,5,0
8462,87.0,7,4
11391,82.0,5,0
23629,82.5,4,0
23698,74.44444444444444,9,0
23798,93.9090909090909,11,0
24186,62.5,8,0
24213,76.28571428571429,7,0
24391,88.88888888888889,9,0
24734,46.8,5,0
25107,77.36363636363636,11,0
25150,84.25,4,0
25261,78.0,1,0
25572,55.0,2,0
25997,86.5,2,0
26023,88.0,9,0
26192,86.2,5,0
26211,89.25,12,0
26247,88.0,1,0
26315,51.4,5,0
26734,74.33333333333333,3,0
27116,93.33333333333333,9,0
27189,52.0,12,0
27417,50.625,8,0
27683,82.08333333333333,12,0
27759,76.0909090909091,11,0
27780,60.0,3,0
27891,69.16666666666667,12,6
27935,75.25,4,0
28046,49.42857142857143,7,0
28061,77.6,5,0
28400,66.4,5,0
28418,31.5,2,0
28787,53.6,5,0
28808,70.0,2,0
28897,71.33333333333333,12,0
28952,59.5,2,0
29144,73.22222222222223,9,0
29335,92.08333333333333,12,0
29411,59.22222222222222,9,0
29420,75.25,8,0
29639,83.76923076923077,13,0
29764,89.33333333333333,9,0
29769,77.5,6,0
29820,80.61538461538461,13,0
29985,71.88888888888889,9,0
30091,88.0,10,0
30096,93.55555555555556,9,0
30531,87.25,4,0
30549,35.0,1,0
30850,99.33333333333333,9,0
31014,90.0,5,0
31107,89.22222222222223,9,0
31161,96.88888888888889,9,0
31173,50.142857142857146,7,0
31205,90.5,4,0
31269,56.0,2,0
31296,66.08333333333333,12,0
31600,54.8,5,0
31604,76.0,5,0
31663,79.27272727272727,11,0
31849,78.0,11,0
32221,89.6,5,0
32239,80.625,8,0
32327,31.0,2,0
32885,54.4,5,0
32930,45.0,5,0
33387,59.0,3,0
33600,84.0,1,0
33666,78.66666666666667,4,0
33681,76.14285714285714,7,4
33796,63.714285714285715,7,0
33897,54.5,4,3
33915,91.5,12,0
33930,81.33333333333333,6,0
34068,73.33333333333333,3,0
34087,84.42857142857143,7,4
34229,88.0,9,0
34293,74.0,2,0
34353,90.6,10,0
34431,80.0,1,0
34653,49.0,3,0
34662,34.5,2,0
34731,75.66666666666667,3,0
34756,67.33333333333333,3,0
34863,73.9090909090909,11,0
35001,75.0,2,0
35340,79.75,4,0
35355,75.22222222222223,9,0
35502,66.0,1,0
35508,87.0,9,0
35544,87.58333333333333,12,0
35747,54.0,1,0
35796,82.0,1,0
35812,71.0,1,0
35860,83.0,10,0
36347,67.45454545454545,11,0
36385,70.6,5,0
37298,84.18181818181819,11,0
37622,81.9,10,0
37652,98.0,5,0
38053,68.0,5,0
38234,77.71428571428571,7,0
38711,38.75,4,0
38941,77.0,1,0
39208,77.4,5,0
39411,70.0,1,0
39427,84.0,1,0
39655,83.0909090909091,11,0
39660,64.5,4,0
39882,78.45454545454545,11,0
40184,93.71428571428571,7,0
40419,71.55555555555556,9,0
40563,71.14285714285714,7,0
40604,68.28571428571429,7,0
40857,86.0,1,0
40878,90.58333333333333,12,0
41060,82.81818181818181,11,0
41414,80.0,9,0
41547,61.6,5,0
42552,71.0,12,0
42616,80.25,12,0
42638,72.38461538461539,13,0
42668,78.66666666666667,12,0
42746,94.57142857142857,21,0
42818,39.0,1,0
43273,76.0,12,0
43284,71.44444444444444,9,0
43430,86.58333333333333,12,0
43564,92.75,4,0
43958,83.63636363636364,11,5
45423,63.333333333333336,12,0
45462,68.0,5,0
45642,72.4,5,0
45664,51.5625,16,0
46016,65.0,3,0
46148,84.75,12,0
46605,93.55555555555556,9,0
46705,83.71428571428571,7,0
46753,58.5,6,0
46812,55.0,1,0
46844,64.8,5,0
47061,70.5,4,0
47063,49.25,4,0
47855,45.90909090909091,11,11
47861,53.333333333333336,12,0
47891,65.66666666666667,3,0
47924,41.0,2,0
48040,77.27272727272727,11,0
48152,52.166666666666664,6,0
48503,76.8,10,0
48635,86.46153846153847,13,0
49119,84.9090909090909,11,0
49123,85.11111111111111,9,0
50069,84.83333333333333,6,0
50263,76.64285714285714,14,0
50476,87.66666666666667,6,0
50487,81.08333333333333,12,0
50610,87.33333333333333,3,3
50993,46.22222222222222,9,0
51030,80.33333333333333,6,0
51033,85.42857142857143,7,0
51153,61.714285714285715,7,0
51163,70.85714285714286,7,0
51301,93.0,1,0
51485,91.58333333333333,12,0
51576,87.0625,16,0
51955,49.714285714285715,7,0
52014,37.333333333333336,12,0
52130,71.4,5,0
52275,38.0,1,0
52426,73.0,5,0
52702,86.875,8,0
52765,63.0,5,0
52797,87.54545454545455,11,0
52899,81.8,10,0
53025,78.0,5,0
53136,74.58333333333333,12,0
53166,70.66666666666667,12,0
53197,0.0,1,0
53300,90.88888888888889,9,0
53488,82.07142857142857,14,0
53632,86.55555555555556,9,5
53709,79.0,19,7
54062,75.28571428571429,7,0
54391,44.5,2,0
54810,71.88888888888889,9,3
54867,74.0,1,0
54882,45.8,5,0
55013,53.25,4,0
55026,72.22222222222223,9,0
55104,71.0,5,0
55419,78.0,2,0
55450,74.25,4,0
55968,67.33333333333333,6,0
56637,86.75,12,0
56667,67.36363636363636,11,0
56789,76.45454545454545,11,0
57079,74.4,10,0
57227,79.0,6,0
57285,54.2,5,0
57340,70.2,5,0
57506,74.0,5,0
57818,91.57142857142857,7,0
57844,82.08333333333333,12,0
58071,76.0,5,0
58089,87.5,2,0
58316,73.4,5,0
58549,92.83333333333333,12,0
58617,40.666666666666664,6,0
58640,67.5,12,0
58653,55.2,5,0
58731,56.285714285714285,7,0
58873,73.2,5,0
58884,89.83333333333333,12,0
59185,78.6,5,0
59272,66.25,4,0
59275,52.5,4,0
59370,64.28571428571429,7,0
59541,40.0,1,0
59725,82.63636363636364,11,0
60135,57.75,12,0
60162,74.22222222222223,9,0
60405,88.66666666666667,9,0
60416,83.18181818181819,11,0
60519,72.0,4,0
60809,86.15384615384616,13,0
60830,82.1,10,0
61227,68.25,4,0
61236,56.0,1,0
61352,100.0,1,0
61911,83.33333333333333,3,0
62034,79.33333333333333,3,0
62155,76.0,5,0
62278,62.166666666666664,6,0
62487,71.6,5,0
62631,80.42857142857143,7,0
62975,86.0,5,0
63015,75.14285714285714,7,0
63044,64.0,5,0
63112,70.85714285714286,7,0
63165,51.4,5,0
63295,63.09090909090909,11,0
63371,78.88888888888889,9,0
63400,71.6,5,0
63467,62.6,5,0
63566,61.714285714285715,7,0
63721,84.0,10,0
63827,78.33333333333333,3,0
63856,52.142857142857146,7,0
63949,86.375,8,0
64275,75.1,10,0
64296,86.5,4,0
64388,64.0,11,0
64427,88.25,12,0
64450,45.714285714285715,7,0
64767,70.0,4,0
64901,71.55555555555556,9,0
65002,67.0,4,2
65656,76.16666666666667,12,0
66047,43.0,1,0
66254,72.16666666666667,6,0
66451,79.0,12,0
66577,83.0,3,3
66579,68.0,5,0
66713,76.5,4,0
66892,66.0,1,0
67182,77.22222222222223,9,0
67471,67.0,7,0
67505,64.25,4,0
67539,66.0,4,0
67602,48.0,14,0
67685,81.0,4,0
67781,75.28571428571429,7,0
67785,71.58333333333333,12,0
67986,78.5,2,0
68011,81.0,2,0
68107,88.0,12,0
68208,56.25,12,0
68376,69.83333333333333,6,0
68417,76.42857142857143,7,0
68556,57.0,4,0
69346,87.66666666666667,3,0
69439,67.66666666666667,3,0
69491,66.0,14,0
69494,12.4,5,0
69703,74.55555555555556,9,0
70011,80.2,5,0
70214,45.0,5,0
70381,75.33333333333333,9,0
70464,55.6,5,0
70495,88.23809523809524,21,0
70537,80.75,4,0
70569,55.8,5,0
70608,84.18181818181819,11,0
70771,50.0,1,0
70827,62.0,1,0
71159,64.91666666666667,12,0
71209,56.285714285714285,7,0
71252,78.33333333333333,12,0
71361,80.4,5,0
71504,83.8,5,0
71578,74.9090909090909,11,0
71676,60.0,7,0
71723,56.625,8,0
72114,80.58333333333333,12,0
72400,84.81818181818181,11,0
72609,51.0,9,0
72693,78.08333333333333,12,0
72864,79.66666666666667,9,0
73019,45.0,7,0
73489,77.72727272727273,11,0
73584,28.0,2,0
73664,25.0,2,0
73874,84.33333333333333,3,0
74113,61.666666666666664,6,0
74165,87.58333333333333,12,0
74290,10.0,2,1
74372,48.5,4,0
74502,63.0,6,0
74521,77.36363636363636,11,0
74524,86.0,1,0
74585,88.81818181818181,11,0
74695,91.8,10,0
74734,83.0,10,0
75091,66.0,5,0
75107,92.08333333333333,12,0
75255,81.8,5,0
75399,72.9,10,0
75427,66.42857142857143,7,0
75454,71.66666666666667,9,0
75728,68.5,2,0
76081,69.2,10,4
76536,66.25,4,4
76579,60.75,4,1
76949,81.77777777777777,9,0
77241,71.0,3,0
77367,70.4,5,0
77692,87.83333333333333,12,0
77744,83.08333333333333,12,0
77746,74.0,1,0
77763,89.5,14,0
77845,68.33333333333333,6,0
77995,73.36363636363636,11,0
77998,75.66666666666667,18,7
78170,69.14285714285714,7,0
78255,78.75,4,1
78645,73.25,4,0
79261,85.0,12,0
79403,60.666666666666664,3,0
79461,33.714285714285715,7,0
79610,76.0,12,0
79683,57.0,2,0
80329,75.9375,16,0
80358,62.333333333333336,3,0
80438,86.9090909090909,11,0
80448,73.6,5,0
80491,51.8,5,0
80717,93.0,11,0
80745,80.625,8,0
80775,83.0,7,0
80868,75.16666666666667,12,0
80886,92.33333333333333,3,0
81351,66.85714285714286,14,0
81536,68.0,2,0
81754,84.0,2,0
82088,80.33333333333333,3,0
82201,65.0,4,2
82341,78.57142857142857,7,0
82535,68.45454545454545,11,0
82556,78.25,4,0
82575,93.66666666666667,9,0
82741,74.9090909090909,11,0
82817,79.88888888888889,9,0
83219,73.07692307692308,13,0
83254,73.0,11,0
83453,30.0,1,0
83553,61.666666666666664,3,0
83588,70.75,4,4
83603,78.08333333333333,12,0
84051,78.0,3,0
84245,87.1,10,0
84299,75.47058823529412,17,0
84541,34.0,2,0
84576,63.142857142857146,7,0
84604,90.66666666666667,12,0
84605,85.375,8,3
84664,89.2,10,0
84812,89.72727272727273,11,0
85092,58.0,4,0
85144,77.6,5,0
85241,48.0,1,0
85302,71.2,5,0
85325,59.0,1,0
85874,74.0,4,0
86047,50.785714285714285,14,0
86291,69.58333333333333,12,1
86538,68.66666666666667,6,0
86669,84.16666666666667,12,0
87107,68.42857142857143,7,0
87152,82.75,12,0
87264,93.75,12,0
87322,76.72727272727273,11,0
87431,50.0,3,0
87732,78.6,10,0
87929,85.0,7,0
88340,76.0,4,0
88439,86.14285714285714,7,0
88490,92.14285714285714,7,0
88568,89.75,4,0
88781,55.25,4,0
88910,52.42857142857143,7,0
89051,81.57142857142857,14,0
89092,62.54545454545455,11,0
89188,64.0,7,0
89545,84.0,4,0
89727,56.2,5,0
89778,92.27272727272727,11,0
89850,66.4,5,0
89895,79.5,12,0
89904,81.0,7,0
90243,64.27272727272727,11,0
90361,76.7,10,0
90537,66.14285714285714,7,0
90901,89.33333333333333,12,0
90979,51.75,4,0
91040,42.5,4,0
91265,70.8,5,0
91322,82.2,10,0
91354,75.0,2,2
91470,66.42857142857143,7,0
91629,76.66666666666667,3,0
91801,69.0,2,0
92274,66.4,5,0
92341,81.0,5,0
92391,50.8,5,5
92775,38.45454545454545,11,0
92832,76.1,10,0
92947,81.5,10,0
92993,76.7,10,0
94484,85.6,5,0
94616,77.44444444444444,9,0
94749,64.0,5,0
94923,61.0,8,0
94961,65.33333333333333,6,1
94964,39.666666666666664,3,0
94978,69.66666666666667,3,0
95356,47.583333333333336,12,0
95746,83.18181818181819,11,2
95755,45.0,2,0
95906,93.22222222222223,9,0
96117,76.25,8,0
96423,82.77777777777777,9,0
96475,84.85714285714286,7,0
96538,36.0,3,0
96592,81.57142857142857,14,0
96729,85.66666666666667,12,0
96864,0.0,1,0
96873,92.0,1,0
96874,76.33333333333333,3,0
97006,89.77777777777777,9,0
97154,90.7,10,0
97567,91.9090909090909,11,0
97865,77.0,5,0
97939,69.0,1,0
98094,60.6,5,0
98256,68.0,2,0
98268,73.45454545454545,11,0
98313,80.72727272727273,11,0
98452,100.0,1,0
98720,72.27272727272727,11,0
98842,59.4,5,0
99075,51.833333333333336,6,0
99088,29.666666666666668,3,0
99151,46.0,1,0
99670,91.75,8,0
99799,75.9,10,0
99993,76.18181818181819,11,0
100064,89.33333333333333,12,0
100282,78.0,1,0
100561,67.14285714285714,7,0
100788,89.3529411764706,17,0
100893,68.4,5,0
101116,82.6,5,0
101217,41.0,2,0
101279,55.0,1,0
101306,49.0,2,0
101420,90.33333333333333,12,0
101634,84.0,2,0
101781,72.6,5,0
