id_student,code_module,code_presentation,total_clicks,active_days,num_unique_sites
6516,AAA,2014J,2791,159,84
8462,DDD,2013J,646,56,125
8462,DDD,2014J,10,1,3
11391,AAA,2013J,934,40,55
23629,BBB,2013B,161,16,11
23698,CCC,2014J,910,70,49
23798,BBB,2013J,590,77,49
24186,GGG,2014B,184,23,19
24213,DDD,2014B,1992,118,139
24391,GGG,2013J,712,58,45
24734,AAA,2014J,499,56,50
25107,BBB,2013B,2562,115,42
25150,EEE,2014B,2103,122,49
25261,CCC,2014J,997,39,43
25572,DDD,2014J,113,23,26
25629,BBB,2014B,16,3,3
25997,BBB,2014B,13,1,2
26023,GGG,2013J,786,84,43
26192,AAA,2014J,2223,118,69
26211,FFF,2014B,15205,248,273
26247,FFF,2013J,478,18,50
26315,BBB,2014J,2451,91,103
26734,BBB,2014J,210,29,26
26915,EEE,2013J,61,7,9
27116,CCC,2014J,1847,126,114
27189,FFF,2014B,2638,53,91
27417,DDD,2013J,410,30,46
27417,DDD,2014J,100,12,15
27683,FFF,2014B,2129,50,129
27759,BBB,2013J,366,46,36
27780,EEE,2014B,553,41,39
27891,BBB,2013B,301,21,25
27891,BBB,2014B,47,3,7
27935,DDD,2013J,813,54,108
28046,DDD,2013J,661,51,79
28061,AAA,2014J,1590,148,82
28400,AAA,2013J,1435,80,84
28418,CCC,2014B,328,22,38
28787,CCC,2014J,645,59,38
28808,FFF,2014B,232,18,35
28897,FFF,2014B,3367,135,205
28952,CCC,2014J,105,12,21
29144,BBB,2013B,1914,123,138
29335,FFF,2013J,8840,230,209
29411,CCC,2014J,329,19,29
29411,DDD,2013J,841,77,111
29420,CCC,2014J,816,49,64
29639,CCC,2014J,6986,245,103
29639,EEE,2014B,3517,212,59
29764,CCC,2014B,2867,89,82
29769,FFF,2013J,1608,71,96
29820,CCC,2014B,1027,71,87
29820,EEE,2014B,1475,106,64
29985,GGG,2014B,760,52,44
30091,BBB,2013J,1332,64,60
30096,CCC,2014J,714,54,73
30268,AAA,2013J,281,12,22
30531,FFF,2014B,1548,54,66
30549,DDD,2013J,137,21,29
30850,CCC,2014J,2258,130,71
31014,BBB,2013J,531,47,20
31107,GGG,2014B,3873,209,57
31161,CCC,2014J,2932,185,130
31173,DDD,2013J,858,57,72
31205,GGG,2014J,381,26,27
31269,DDD,2013J,300,21,56
31269,DDD,2014B,559,32,95
31296,FFF,2014J,1280,43,62
31600,AAA,2014J,429,19,28
31604,AAA,2013J,2158,123,82
31663,BBB,2013B,5906,222,114
31849,BBB,2013J,1179,80,40
32221,FFF,2013J,1133,48,90
32239,GGG,2013J,620,51,45
32327,BBB,2014J,699,30,51
32885,AAA,2013J,1034,70,66
32930,BBB,2014J,438,13,55
33387,DDD,2013J,248,22,37
33600,FFF,2013J,481,21,54
33666,BBB,2013B,1208,66,24
33681,DDD,2013J,434,24,97
33681,DDD,2014J,30,2,18
33796,DDD,2014J,351,45,56
33897,DDD,2013J,322,5,42
